"subject_age","subject_race","subject_sex","lng","lat","violation_type","prob"
43,"white","male",-111.8401426,33.3969685,"reckless_driving",0.2
43,"white","male",-111.8401426,33.3969685,"running_red_light_or_without_headlight",0
43,"white","male",-111.8401426,33.3969685,"without_proper_documents_or_vehicle_defects",0.776
55,"white","female",-111.8702271,33.4076013,"distracted_driving",0.02
55,"white","female",-111.8702271,33.4076013,"leaving_scene_of_an_accident_informing",0
55,"white","female",-111.8702271,33.4076013,"reckless_driving",0.328
55,"white","female",-111.8702271,33.4076013,"running_red_light_or_without_headlight",0
55,"white","female",-111.8702271,33.4076013,"without_proper_documents_or_vehicle_defects",0.652
38,"hispanic","male",-111.8789026,33.3759325,"distracted_driving",0.002
38,"hispanic","male",-111.8789026,33.3759325,"leaving_scene_of_an_accident_informing",0
38,"hispanic","male",-111.8789026,33.3759325,"reckless_driving",0.986
38,"hispanic","male",-111.8789026,33.3759325,"running_red_light_or_without_headlight",0
38,"hispanic","male",-111.8789026,33.3759325,"without_proper_documents_or_vehicle_defects",0.012
29,"hispanic","male",-111.8421029,33.3917087,"distracted_driving",0
29,"hispanic","male",-111.8421029,33.3917087,"leaving_scene_of_an_accident_informing",0
29,"hispanic","male",-111.8421029,33.3917087,"reckless_driving",0
29,"hispanic","male",-111.8421029,33.3917087,"running_red_light_or_without_headlight",0
29,"hispanic","male",-111.8421029,33.3917087,"without_proper_documents_or_vehicle_defects",1
27,"white","male",-111.8486171,33.3947726,"distracted_driving",0.002
27,"white","male",-111.8486171,33.3947726,"leaving_scene_of_an_accident_informing",0
27,"white","male",-111.8486171,33.3947726,"reckless_driving",0.026
27,"white","male",-111.8486171,33.3947726,"running_red_light_or_without_headlight",0.074
27,"white","male",-111.8486171,33.3947726,"without_proper_documents_or_vehicle_defects",0.898
29,"hispanic","male",-111.8554323,33.3788167,"distracted_driving",0
29,"hispanic","male",-111.8554323,33.3788167,"leaving_scene_of_an_accident_informing",0
29,"hispanic","male",-111.8554323,33.3788167,"reckless_driving",0
29,"hispanic","male",-111.8554323,33.3788167,"running_red_light_or_without_headlight",0
29,"hispanic","male",-111.8554323,33.3788167,"without_proper_documents_or_vehicle_defects",1
27,"white","male",-111.88351,33.4079941,"distracted_driving",0.016
27,"white","male",-111.88351,33.4079941,"leaving_scene_of_an_accident_informing",0
27,"white","male",-111.88351,33.4079941,"reckless_driving",0.014
27,"white","male",-111.88351,33.4079941,"running_red_light_or_without_headlight",0
27,"white","male",-111.88351,33.4079941,"without_proper_documents_or_vehicle_defects",0.97
58,"white","male",-111.8757529,33.3872867,"distracted_driving",0.048
58,"white","male",-111.8757529,33.3872867,"leaving_scene_of_an_accident_informing",0
58,"white","male",-111.8757529,33.3872867,"reckless_driving",0.006
58,"white","male",-111.8757529,33.3872867,"running_red_light_or_without_headlight",0
58,"white","male",-111.8757529,33.3872867,"without_proper_documents_or_vehicle_defects",0.946
45,"hispanic","male",-111.8230423,33.3856736,"distracted_driving",0.882
45,"hispanic","male",-111.8230423,33.3856736,"leaving_scene_of_an_accident_informing",0
45,"hispanic","male",-111.8230423,33.3856736,"reckless_driving",0
45,"hispanic","male",-111.8230423,33.3856736,"running_red_light_or_without_headlight",0.118
45,"hispanic","male",-111.8230423,33.3856736,"without_proper_documents_or_vehicle_defects",0
20,"white","male",-111.8229849,33.4077772,"distracted_driving",0
20,"white","male",-111.8229849,33.4077772,"leaving_scene_of_an_accident_informing",0
20,"white","male",-111.8229849,33.4077772,"reckless_driving",0.936
20,"white","male",-111.8229849,33.4077772,"running_red_light_or_without_headlight",0.008
20,"white","male",-111.8229849,33.4077772,"without_proper_documents_or_vehicle_defects",0.056
25,"hispanic","female",-111.8401593,33.3932471,"distracted_driving",0.002
